"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","02/02/2015","30/06/2015","Mohamed Salah","22","Fiorentina","Italy",16,"12,00 Mill. €  "," ","Chelsea"
"2","05/07/2014","30/06/2015","Thorgan Hazard","21","Bor. M'gladbach","Germany",28,"10,00 Mill. €  "," ","Chelsea"
"3","16/08/2014","31/05/2015","Victor Moses","23","Stoke City","England",19,"7,50 Mill. €  "," ","Chelsea"
"4","31/08/2014","30/06/2015","Marco van Ginkel","21","AC Milan","Italy",17,"7,50 Mill. €  "," ","Chelsea"
"5","31/08/2014","04/01/2015","Fernando Torres","30","AC Milan","Italy",10,"7,00 Mill. €  "," ","Chelsea"
"6","30/07/2014","01/02/2015","Ryan Bertrand","24","Southampton","England",34,"6,00 Mill. €  "," ","Chelsea"
"7","24/07/2014","30/06/2015","Lucas Piazón","20","E. Frankfurt","Germany",22,"5,00 Mill. €  "," ","Chelsea"
"8","13/08/2014","30/06/2015","Christian Atsu","22","Everton","England",5,"5,00 Mill. €  "," ","Chelsea"
"9","01/09/2014","02/01/2015","Nathaniel Chalobah","19","Burnley","England",4,"4,00 Mill. €  "," ","Chelsea"
"10","22/01/2015","21/05/2015","Nathaniel Chalobah","20","Reading","England",15,"4,00 Mill. €  "," ","Chelsea"
"11","01/07/2014","04/01/2015","Tomas Kalas","21","1. FC Köln","Germany",0,"3,50 Mill. €  "," ","Chelsea"
"12","31/07/2014","30/06/2015","Gaël Kakuta","23","Rayo Vallecano","Spain",35,"3,50 Mill. €  "," ","Chelsea"
"13","04/08/2014","30/06/2015","Oriol Romeu","22","VfB Stuttgart","Germany",27,"3,50 Mill. €  "," ","Chelsea"
"14","18/08/2014","19/01/2015","Marko Marin","25","Fiorentina","Italy",0,"3,50 Mill. €  "," ","Chelsea"
"15","09/01/2015","31/05/2016","Tomas Kalas","21","Middlesbrough","England",17,"3,50 Mill. €  "," ","Chelsea"
"16","01/07/2014","30/06/2015","Wallace Oliveira","20","Vitesse","Netherlands",18,"3,00 Mill. €  "," ","Chelsea"
"17","21/07/2014","30/06/2015","Mario Pasalic","19","Elche CF","Spain",31,"3,00 Mill. €  "," ","Chelsea"
"18","18/08/2014","30/06/2015","Josh McEachran","21","Vitesse","Netherlands",15,"3,00 Mill. €  "," ","Chelsea"
"19","02/01/2014","30/06/2015","Bertrand Traoré","18","Vitesse","Netherlands",29,"2,50 Mill. €  "," ","Chelsea"
"20","29/08/2014","31/05/2015","Patrick Bamford","20","Middlesbrough","England",38,"2,50 Mill. €  "," ","Chelsea"
"21","20/01/2015","30/06/2015","Marko Marin","25","RSC Anderlecht","Belgium",6,"2,50 Mill. €  "," ","Chelsea"
"22","04/07/2014","30/06/2015","Cristian Cuevas","19","U. de Chile","Chile",4,"1,50 Mill. €  "," ","Chelsea"
"23","01/09/2014","20/01/2015","Ulises Dávila","23","CD Tenerife","Spain",10,"1,50 Mill. €  "," ","Chelsea"
"24","25/03/2015","22/04/2015","Nathan Aké","20","Reading","England",5,"1,50 Mill. €  "," ","Chelsea"
"25","22/01/2015","30/06/2015","Ulises Dávila","23","Vitória Setúbal","Portugal",11,"1,30 Mill. €  "," ","Chelsea"
"26","06/08/2014","31/05/2015","Kenneth Omeruo","20","Middlesbrough","England",19,"1,00 Mill. €  "," ","Chelsea"
"27","15/08/2014","28/01/2015","Stipe Perica","19","NAC Breda","Netherlands",10,"1,00 Mill. €  "," ","Chelsea"
"28","15/11/2014","07/01/2015","Todd Kane","21","Bristol City","England",5,"1,00 Mill. €  "," ","Chelsea"
"29","31/01/2015","30/06/2016","Stipe Perica","19","Udinese Calcio","Italy",9,"900 Th. €  "," ","Chelsea"
"30","01/09/2014","26/02/2015","Matej Delac","22","AC Arles","France",11,"800 Th. €  "," ","Chelsea"
"31","27/02/2015","30/06/2015","Matej Delac","22","FK Sarajevo","Bosnia-Herzegovina",14,"800 Th. €  "," ","Chelsea"
"32","08/01/2015","25/05/2015","Todd Kane","21","Nottm Forest","England",8,"750 Th. €  "," ","Chelsea"
"33","25/02/2015","21/05/2015","Lewis Baker","19","MK Dons","England",12,"500 Th. €  "," ","Chelsea"
"34","01/09/2014","05/01/2015","Jamal Blackman","20","Middlesbrough","England",0,"250 Th. €  "," ","Chelsea"
"35","08/01/2015","10/02/2015","Lewis Baker","19","Sheff Wed","England",4,"250 Th. €  "," ","Chelsea"
"36","01/09/2014","31/12/2014","Islam Feruz","18","OFI Crete","Greece",1,"500 Th. €  "," ","Chelsea"
"37","16/01/2015","27/02/2015","Islam Feruz","19","Blackpool","England",2,"500 Th. €  "," ","Chelsea"
"38","01/08/2014","14/11/2014","John Swift","19","Rotherham","England",3,"250 Th. €  "," ","Chelsea"
"39","03/01/2015","10/05/2015","John Swift","19","Swindon Town","England",18,"250 Th. €  "," ","Chelsea"
"40","06/08/2014","08/01/2015","Joao Rodríguez","18","SC Bastia","France",5,"150 Th. €  "," ","Chelsea"
"41","02/02/2015","30/06/2015","Joao Rodríguez","18","Vitória Setúbal","Portugal",0,"150 Th. €  "," ","Chelsea"
"42","26/11/2014","23/04/2015","Alex Davey","20","Scunthorpe Utd.","England",13,"-  "," ","Chelsea"
"43","03/01/2015","18/02/2015","Alex Kiwomya","18","Barnsley FC","England",5,"-  "," ","Chelsea"
