"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","01/09/2008","12/06/2009","Fraizer Campbell","20","Spurs","England",10,"2,80 Mill. €  "," ","Manchester United"
"2","01/01/2009","01/05/2009","Manucho","25","Hull City","England",13,"2,00 Mill. €  "," ","Manchester United"
"3","01/08/2008","01/05/2009","Tom Heaton","22","Cardiff","England",21,"1,50 Mill. €  "," ","Manchester United"
"4","04/08/2008","08/05/2009","Danny Simpson","21","Blackburn","England",12,"1,00 Mill. €  "," ","Manchester United"
"5","01/08/2008","01/11/2008","Lee Martin","21","Nottm Forest","England",13,"900 Th. €  "," ","Manchester United"
"6","01/01/2009","01/05/2009","David Gray","20","Plymouth","England",14,"100 Th. €  "," ","Manchester United"
"7","01/01/2009","01/05/2009","Sam Hewson","20","Hereford Utd.","England",10,"-  "," ","Manchester United"
"8","17/01/2009","25/05/2009","Tom Cleverley","19","Leicester","England",15,"-  "," ","Manchester United"
"9","01/02/2009","01/03/2009","James Chester","20","Peterborough","England",5,"-  "," ","Manchester United"
