"","LoanStart","LoanEnd","PlayerNamesChels","Age","PlayerLoanClub","clubCountry","PlayerAppearences"
"1","31/08/2016","30/06/2017","Juan Cuadrado","28","Juventus","Italy",30
"2","10/07/2015","30/06/2017","Andreas Christensen","19","Bor. M'gladbach","Germany",31
"3","01/01/2017","30/06/2018","Marco van Ginkel","24","PSV Eindhoven","Netherlands",15
"4","30/08/2016","31/05/2017","Loïc Rémy","29","Crystal Palace","England",5
"5","02/08/2016","30/06/2017","Abdul Rahman Baba","22","FC Schalke 04","Germany",13
"6","12/08/2016","30/06/2017","Bertrand Traoré","20","AFC Ajax","Netherlands",24
"7","27/08/2016","30/06/2017","Mario Pasalic","21","AC Milan","Italy",24
"8","30/08/2016","31/12/2016","Kenedy","20","Watford","England",1
"9","01/07/2015","30/06/2017","Lewis Baker","20","Vitesse","Netherlands",33
"10","01/07/2016","08/01/2017","Nathan Aké","21","Bournemouth","England",10
"11","30/08/2016","14/01/2017","Patrick Bamford","22","Burnley","England",6
"12","31/08/2016","30/06/2017","Christian Atsu","24","Newcastle","England",32
"13","13/07/2016","31/05/2017","Tomas Kalas","23","Fulham","England",36
"14","14/08/2016","30/06/2017","Michael Hector","24","E. Frankfurt","Germany",22
"15","31/08/2016","30/06/2018","Matt Miazga","21","Vitesse","Netherlands",23
"16","31/08/2016","31/05/2018","Lucas Piazón","22","Fulham","England",29
"17","31/08/2016","30/06/2017","Kenneth Omeruo","22","Alanyaspor","Turkey",26
"18","07/01/2016","30/06/2017","Wallace Oliveira","21","Grêmio","Brazil",0
"19","10/07/2015","30/06/2017","Nathan","19","Vitesse","Netherlands",27
"20","22/07/2016","30/06/2017","Matej Delac","23","Mouscron","Belgium",23
"21","31/08/2016","30/06/2017","Cristian Cuevas","21","Sint-Truiden","Belgium",18
"22","12/08/2016","30/06/2017","Danilo Pantic","19","SBV Excelsior","Netherlands",9
"23","15/08/2016","31/05/2017","Jamal Blackman","22","Wycombe","England",42
