"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","25/08/2011","14/05/2012","Emmanuel Adebayor","27","Spurs","England",33,"23,00 Mill. €  "," ","Manchester City"
"2","31/08/2011","30/06/2012","John Guidetti","19","Feyenoord","Netherlands",23,"7,00 Mill. €  "," ","Manchester City"
"3","30/08/2011","30/06/2012","Roque Santa Cruz","30","Real Betis","Spain",33,"4,00 Mill. €  "," ","Manchester City"
"4","30/08/2011","30/06/2012","Vladimír Weiss","21","Espanyol","Spain",28,"3,50 Mill. €  "," ","Manchester City"
"5","31/01/2012","31/05/2012","Wayne Bridge","31","Sunderland","England",8,"2,50 Mill. €  "," ","Manchester City"
"6","01/09/2011","17/05/2012","Dedryck Boyata","20","Bolton","England",14,"2,00 Mill. €  "," ","Manchester City"
"7","27/07/2011","31/05/2012","Michael Johnson","23","Leicester","England",7,"1,50 Mill. €  "," ","Manchester City"
"8","02/09/2010","31/12/2011","Mohammed Abu","18","Strømsgodset","Norway",11,"1,00 Mill. €  "," ","Manchester City"
"9","31/01/2012","30/03/2012","Mohammed Abu","20","E. Frankfurt","Germany",0,"1,00 Mill. €  "," ","Manchester City"
"10","31/03/2012","30/06/2012","Mohammed Abu","20","Strømsgodset","Norway",11,"1,00 Mill. €  "," ","Manchester City"
"11","01/09/2011","01/05/2012","Ryan McGivern","21","Bristol City","England",31,"500 Th. €  "," ","Manchester City"
"12","01/07/2011","01/03/2012","Abdisalam Ibrahim","20","NEC Nijmegen","Netherlands",8,"400 Th. €  "," ","Manchester City"
"13","01/07/2011","01/12/2011","David González","28","Aberdeen FC","Scotland",14,"250 Th. €  "," ","Manchester City"
"14","01/07/2011","01/08/2011","Ryan McGivern","21","Crystal Palace","England",5,"100 Th. €  "," ","Manchester City"
"15","14/07/2011","16/01/2012","Ben Mee","21","Burnley","England",31,"100 Th. €  "," ","Manchester City"
"16","25/10/2011","29/04/2012","Greg Cunningham","20","Nottm Forest","England",27,"50 Th. €  "," ","Manchester City"
"17","01/08/2011","01/11/2011","Ahmad Benali","19","Rochdale","England",2,"-  "," ","Manchester City"
"18","01/09/2011","01/12/2011","Alex Nimely","20","Middlesbrough","England",9,"-  "," ","Manchester City"
"19","01/09/2011","01/12/2011","Reece Wabara","19","Ipswich","England",6,"-  "," ","Manchester City"
"20","28/10/2011","24/11/2011","Abdul Razak","18","Portsmouth","England",3,"-  "," ","Manchester City"
"21","01/01/2012","01/05/2012","Alex Nimely","20","Coventry","England",17,"-  "," ","Manchester City"
"22","17/02/2012","30/06/2012","Abdul Razak","19","Brighton","England",6,"-  "," ","Manchester City"
"23","22/03/2012","29/04/2012","Karim Rekik","17","Portsmouth","England",8,"-  "," ","Manchester City"
