"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","26/02/2012","31/05/2012","Andrey Arshavin","30","Zenit S-Pb","Russia",0,"11,00 Mill. €  "," ","Arsenal"
"2","31/08/2011","14/05/2012","Nicklas Bendtner","23","Sunderland","England",28,"7,50 Mill. €  "," ","Arsenal"
"3","18/08/2011","30/06/2012","Carlos Vela","22","Real Sociedad","Spain",35,"6,00 Mill. €  "," ","Arsenal"
"4","18/07/2011","30/06/2013","Denílson","23","São Paulo","Brazil",31,"5,00 Mill. €  "," ","Arsenal"
"5","31/01/2012","17/05/2012","Ryo Miyaichi","19","Bolton","England",12,"2,50 Mill. €  "," ","Arsenal"
"6","30/09/2011","01/11/2011","Manuel Almunia","34","West Ham","England",4,"2,00 Mill. €  "," ","Arsenal"
"7","17/08/2011","19/01/2012","Pedro Botelho","21","Rayo Vallecano","Spain",11,"1,50 Mill. €  "," ","Arsenal"
"8","30/08/2011","30/06/2012","Joel Campbell","19","FC Lorient","France",25,"1,50 Mill. €  "," ","Arsenal"
"9","01/01/2012","15/02/2012","Emmanuel Frimpong","19","Wolves","England",5,"1,50 Mill. €  "," ","Arsenal"
"10","20/01/2012","30/06/2012","Pedro Botelho","22","Levante","Spain",14,"1,50 Mill. €  "," ","Arsenal"
"11","31/08/2011","20/05/2012","Henri Lansbury","20","West Ham","England",22,"1,25 Mill. €  "," ","Arsenal"
"12","05/01/2012","01/05/2012","Vito Mannone","23","Hull City","England",21,"750 Th. €  "," ","Arsenal"
"13","12/01/2011","31/12/2011","Wellington Silva","18","Levante","Spain",0,"700 Th. €  "," ","Arsenal"
"14","10/01/2012","30/06/2012","Wellington Silva","19","CD Alcoyano","Spain",16,"500 Th. €  "," ","Arsenal"
"15","21/02/2012","01/05/2012","Craig Eastmond","21","Wycombe","England",14,"500 Th. €  "," ","Arsenal"
"16","01/01/2012","01/02/2012","Gavin Hoyte","21","AFC Wimbledon","England",3,"350 Th. €  "," ","Arsenal"
"17","23/11/2011","16/01/2012","Sanchez Watt","20","Sheff Wed","England",4,"-  "," ","Arsenal"
"18","26/01/2012","31/05/2012","Sanchez Watt","20","Crawley Town","England",14,"-  "," ","Arsenal"
"19","23/03/2012","31/05/2012","Nico Yennaris","18","Notts County","England",2,"-  "," ","Arsenal"
"20","04/05/2012","07/05/2012","Emiliano Martínez","19","Oxford United","England",1,"-  "," ","Arsenal"
"21","31/01/2011","30/06/2012","Kyle Bartley","19","Rangers","Scotland",19,"500 Th. €  "," ","Arsenal"
"22","04/08/2011","30/06/2012","Samuel Galindo","19","Gimnàstic","Spain",12,"300 Th. €  "," ","Arsenal"
"23","01/01/2012","01/05/2012","Sead Hajrovic","18","Barnet","England",10,"100 Th. €  "," ","Arsenal"
"24","26/07/2011","05/12/2011","James Shea","20","Dag & Red FC","England",1,"50 Th. €  "," ","Arsenal"
"25","22/11/2011","05/03/2012","Chuks Aneke","18","Stevenage FC","England",6,"-  "," ","Arsenal"
"26","20/01/2012","22/02/2012","Daniel Boateng","19","Swindon Town","England",2,"-  "," ","Arsenal"
"27","01/01/2012","01/05/2012","Rhys Murphy","21","Preston NE","England",5,"-  "," ","Arsenal"
"28","01/03/2012","01/04/2012","Sean McDermott","18","Leeds","England",0,"-  "," ","Arsenal"
"29","22/03/2012","02/05/2012","Benik Afobe","19","Reading","England",3,"-  "," ","Arsenal"
"30","22/03/2012","31/05/2012","Chuks Aneke","18","Preston NE","England",7,"-  "," ","Arsenal"
"31","17/11/2011","08/01/2012","Luke Freeman","19","Stevenage FC","England",26,"-  "," ","Arsenal"
